Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
42,Malik Beasley,SG,25,MIN,75,1872,11.9,0.543,0.746,0.07,1.4,11.4,6.3,8.5,1,0.6,4.9,19.6,,1.6,1.2,2.7,0.07,,0.8,-1.4,-0.7,0.7
43,Jordan Bell,C,27,CHI,1,2,29.9,,,,56.5,0,28,0,24.4,0,,0,,0,0,0,0.605,,-8,10.8,2.8,0
44,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.5,12.6,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.103,,-2.1,1.4,-0.7,0.3
44,DeAndre' Bembry,SF,27,BRK,48,949,12.5,0.609,0.169,0.164,4.4,12.8,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1,2.1,0.107,,-2,1.5,-0.5,0.4
44,DeAndre' Bembry,SF,27,MIL,8,77,4.8,0.375,0,0,5.6,9.4,7.6,9.5,1.2,0,11.1,5,,0,0.1,0.1,0.053,,-4.4,0.5,-3.9,0
45,Dāvis Bertāns,PF,29,TOT,52,743,8.4,0.517,0.835,0.157,1.5,13.4,7.5,4.4,1,1.2,6.2,17.5,,0,0.6,0.6,0.036,,-2.4,-1.2,-3.5,-0.3
45,Dāvis Bertāns,PF,29,WAS,34,501,8.4,0.527,0.842,0.175,1.3,11.9,6.7,4.5,1.1,1,7.1,17.6,,0,0.3,0.3,0.028,,-2.5,-1.3,-3.7,-0.2
45,Dāvis Bertāns,PF,29,DAL,18,242,8.5,0.498,0.821,0.119,1.8,16.6,9.1,4.2,0.8,1.5,4.3,17.2,,0,0.3,0.3,0.053,,-2.1,-1,-3.1,-0.1
46,Patrick Beverley,PG,33,MIN,56,1433,14.8,0.541,0.555,0.299,4.4,13.2,8.7,24.2,2.2,3.4,13,16.1,,2.3,1.7,4,0.134,,0.6,2.1,2.7,1.7
47,Saddiq Bey,SF,22,DET,78,2602,14,0.53,0.538,0.224,4.2,14.3,9,13.6,1.3,0.6,7.3,21.1,,2.3,1.7,4,0.073,,0.9,-1.2,-0.2,1.2
48,Khem Birch,C,29,TOR,50,895,13.5,0.536,0.066,0.385,12.6,13.5,13.1,7.9,1.5,2.5,10.5,11.4,,1.5,1,2.4,0.131,,-1.5,0.5,-1,0.2
49,Goga Bitadze,C,22,IND,49,720,18,0.591,0.321,0.378,12,15.2,13.6,11.1,1.4,4.8,13.4,20,,1.3,0.6,1.9,0.124,,-0.2,-0.7,-0.8,0.2
