Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
34,Will Barton,SG,31,DEN,71,2277,13.4,0.548,0.48,0.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.3,2,3.3,0.069,,0.4,-0.9,-0.5,0.9
35,Paris Bass,SF,26,PHO,2,7,14,0.436,0.333,0.333,31.5,29.8,30.6,0,6.9,0,22.5,54.7,,0,0,0,-0.17,,-11.2,-1.3,-12.5,0
36,Charles Bassey,PF,21,PHI,23,168,21.5,0.66,0.085,0.255,14.8,26.1,20.6,6.6,1.5,9.1,13.3,16.1,,0.4,0.3,0.8,0.22,,-0.3,2.2,1.9,0.2
37,Keita Bates-Diop,SF,26,SAS,57,920,12.4,0.577,0.212,0.232,6.8,18.9,12.8,5.7,1.4,1.3,13.5,14.6,,0.6,0.9,1.6,0.081,,-2.2,-0.5,-2.6,-0.1
38,Nicolas Batum,PF,33,LAC,58,1436,13.5,0.606,0.698,0.099,2.2,15.8,9.2,9.6,1.9,2.5,8.7,13.4,,1.6,2,3.6,0.12,,0.5,1.7,2.2,1.5
39,Kent Bazemore,SF,32,LAL,39,545,6,0.451,0.576,0.122,2.6,11,6.8,8.1,2.2,1.5,12.5,13.2,,-0.4,0.5,0.1,0.005,,-5.1,0.7,-4.4,-0.3
40,Darius Bazley,PF,21,OKC,69,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.8,1.5,3.4,11.1,18.3,,-0.5,2.3,1.9,0.046,,-2.1,0.3,-1.8,0.1
41,Bradley Beal,SG,28,WAS,40,1439,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,,0.7,0.7,1.4,0.047,,2,-1.2,0.8,1
42,Malik Beasley,SG,25,MIN,78,1960,11.9,0.545,0.75,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.071,,0.8,-1.4,-0.7,0.7
43,Jordan Bell,C,27,CHI,1,2,29.9,,,,56.4,0,28,0,24.4,0,,0,,0,0,0,0.602,,-8.1,10.8,2.8,0
44,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.5,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.2,1.5,-0.7,0.3
44,DeAndre' Bembry,SF,27,BRK,48,949,12.5,0.609,0.169,0.164,4.4,12.8,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1.1,2.1,0.108,,-2,1.5,-0.5,0.4
44,DeAndre' Bembry,SF,27,MIL,8,77,4.8,0.375,0,0,5.6,9.4,7.6,9.4,1.2,0,11.1,5,,0,0.1,0.1,0.053,,-4.4,0.5,-3.9,0
45,Dāvis Bertāns,PF,29,TOT,54,772,8.7,0.524,0.838,0.15,1.4,14,7.8,4.6,1,1.2,6.3,17.5,,0.1,0.6,0.6,0.04,,-2.1,-1.2,-3.3,-0.3
45,Dāvis Bertāns,PF,29,WAS,34,501,8.4,0.527,0.842,0.175,1.3,11.9,6.7,4.4,1.1,1,7.1,17.6,,0,0.3,0.3,0.026,,-2.5,-1.3,-3.7,-0.2
45,Dāvis Bertāns,PF,29,DAL,20,271,9.3,0.518,0.832,0.105,1.6,17.7,9.6,4.8,0.7,1.7,4.8,17.4,,0,0.3,0.4,0.065,,-1.5,-1,-2.5,0
46,Patrick Beverley,PG,33,MIN,57,1461,14.8,0.539,0.557,0.298,4.4,13.3,8.8,24.4,2.2,3.4,13,16.1,,2.3,1.7,4,0.132,,0.6,2.1,2.7,1.7
47,Saddiq Bey,SF,22,DET,80,2658,14.1,0.532,0.538,0.223,4.1,14.2,8.9,13.8,1.3,0.5,7.3,21.2,,2.4,1.6,4.1,0.074,,1,-1.2,-0.2,1.2
48,Khem Birch,C,29,TOR,53,945,13,0.531,0.068,0.374,12.6,13.7,13.1,7.4,1.4,2.6,11.2,11.3,,1.4,1,2.4,0.123,,-1.8,0.4,-1.4,0.1
49,Goga Bitadze,C,22,IND,50,729,18.1,0.595,0.317,0.373,11.9,15.2,13.5,11.2,1.4,5,13.6,19.9,,1.3,0.6,1.9,0.124,,-0.2,-0.6,-0.7,0.2
50,Bismack Biyombo,C,29,PHO,35,480,16.8,0.587,0,0.478,14,21.1,17.7,6.2,1.2,4.4,13,17.2,,0.7,0.9,1.6,0.162,,-1.9,0.4,-1.5,0.1
51,Nemanja Bjelica,C,33,GSW,69,1103,13.9,0.568,0.435,0.231,5.9,21.8,14.1,19.4,1.7,2.2,18.4,17.8,,0.8,2,2.8,0.122,,-1.1,2.2,1.1,0.9
52,Eric Bledsoe,PG,32,LAC,54,1361,12.6,0.514,0.348,0.25,2.2,11.7,7.1,24.3,2.5,1.2,18.3,20.5,,-0.5,1.7,1.3,0.044,,-2.1,1.2,-0.9,0.4
53,Keljin Blevins,SF,26,POR,29,324,5.2,0.425,0.644,0.109,5.2,9.1,7.1,7.9,1.7,0.3,13.8,16.4,,-0.5,0.1,-0.4,-0.059,,-5.1,-3.1,-8.2,-0.5
54,Bogdan Bogdanović,SG,29,ATL,61,1784,15.2,0.563,0.58,0.139,1.7,12.7,7.3,15.3,1.8,0.7,8,21.5,,2.3,1.1,3.4,0.091,,1.3,-0.3,1,1.4
55,Bojan Bogdanović,PF,32,UTA,68,2099,15.7,0.6,0.502,0.281,3.1,11.7,7.5,8.8,0.8,0,10.3,23.7,,3.6,1.4,5.1,0.116,,1.6,-1.7,-0.1,1
56,Bol Bol,PF,22,DEN,14,81,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,,0,0.1,0.1,0.067,,-0.5,-0.4,-1,0
57,Leandro Bolmaro,SF,21,MIN,34,223,4.1,0.391,0.378,0.244,7,12.3,9.6,9.5,1.3,0,20.7,11.8,,-0.2,0.2,-0.1,-0.015,,-5.8,-0.5,-6.3,-0.2
